index,xp,yp,xt,yt,xm,ym
39,-30.932768304307697,3.831199483494322,-9.831066,-5.6214356,-24.392106683320144,27.573684022140622
40,-48.8672157210087,20.834521507182927,-9.003114,-11.857636,-17.23665030711932,61.67380816085959
41,-34.50069753265697,9.716965827746678,-7.9396477,-6.078313,-21.0739361259646,35.14666879624535
42,-27.46505590174599,7.375987311174657,-6.5727396,-3.0195217,-26.68778125298754,25.333969151830633
43,-22.305484839709234,-13.022468299589471,-4.7286606,0.25053442,-33.05865204200009,8.047963576761175
44,-23.86193545811185,-16.69474028970562,-2.3440251,-3.2814524,-34.80989764738679,6.812391479932875
45,-31.867921026182362,-1.245661575039128,-6.0871224,-11.648182,-35.87107792153772,27.16675990222457
46,-28.692417501363558,10.365749727748634,-6.649532,-9.608055,-5.381087404143395,31.967590283127
47,-42.94021237047015,11.409993722683835,-7.470456,-10.75529,-13.801068277807447,49.37260763627684
48,-40.23291535721247,14.795491191475195,-7.9031167,-10.310683,-11.662374691619094,47.89087544301278
49,-40.4133683940676,21.608453320307728,-8.344591,-11.150372,-13.02054456113856,52.93679125995804
50,-28.003792188716492,2.407286111000003,-3.0218453,-9.253147,10.892095828475018,33.84269467500486
51,-20.30509517211173,-5.112898324353329,-4.5094905,-12.504191,-53.659776670381504,4.068988039344331
52,-29.998423398527795,14.705091343443929,-10.798552,-6.399677,12.306365080670993,43.24367369660738
53,-33.48611176091423,24.48276055482077,-10.777198,-11.094698,12.094610276268357,48.11057084206248
54,-46.61419821487688,8.081502309531219,-8.882898,-4.945899,-28.236457095881146,45.83385441324452
55,-27.725308110286626,2.207905356789991,-8.169429,-1.288432,-35.023419116611315,22.085208166861904
56,-32.753741879590564,12.922661778984352,-7.1098027,-6.187543,-16.333174937187096,37.02335470058619
57,-32.42824503842589,6.283243398243001,-6.268447,-10.2738905,-0.6880890532738972,36.96718561204753
58,-40.17618892451374,12.904142817840642,-9.713779,-6.540474,-20.22225342721147,42.579300641055724
59,-27.374436604389086,11.966629490265564,-5.7266216,-9.966974,3.0910140326665814,33.7779705966873
60,38.85069153232287,1.2696216890778984,12.728837,9.740649,46.6305458857349,-25.345646142303497
61,79.69617377924953,-1.5661072282744446,10.570577,11.470668,44.6023359228338,-72.84675760115306
62,-5.610083097133173,18.259647431960587,0.6373955,-7.5801444,21.09944695280004,18.28285378502298
63,13.185268478096349,-20.472354619865243,3.9884498,3.0553265,-11.837027836015535,-24.03708458614875
64,3.1453476903018234,-34.45625563490245,2.8782582,-1.3238571,38.54133328880725,-0.1954106700152164
65,13.82148031379727,-19.90751659816191,3.2465894,3.8562403,-22.929882840058358,-30.606186566758193
66,12.613645210141454,-18.171196836483176,4.5698266,1.9145019,-10.412702086856685,-23.31168497645109
67,49.77107725899945,-5.073269851498363,7.6720324,7.5653696,25.292072174595628,-48.41691393775972
68,-15.689639591325536,-22.476977324546578,-0.26095125,-2.3850698,-32.56713632289922,-3.0944053306452544
69,2.750068353517564,-7.9075096883465745,6.3028193,-0.21592608,2.6828384880352587,-8.91612622540079
70,11.31221022324893,-6.748784930982426,3.6911392,2.9880219,-0.7470737381780131,-14.395205161412921
71,75.92307428882465,26.344123658743268,12.612245,12.007752,74.42001116726584,-44.77984982993385
72,55.66811808798463,4.548084575025157,11.295609,9.855817,43.64787456793339,-45.53519282269472
73,1.2842763542520061,15.453123142355178,0.2575245,2.1187706,16.795465765189547,7.657074655719424
74,43.383175009952794,-7.538314716326801,12.5061865,9.3844,46.083106730573114,-34.38575349512237
75,110.31207946754355,56.205975539322225,12.285121,13.373237,116.80133124691159,-59.90123272127238
76,90.03476526162088,21.53071688314278,12.243532,12.358325,73.88346847012475,-65.61671796966087
77,22.926006923493425,3.912803047940211,6.6658683,5.6381187,25.72689186681677,-15.209023057499422
78,12.190988179415356,-9.587581004293133,5.595995,1.5064992,1.0525662304872434,-16.638934547492873
79,-14.376389646453058,14.29581348337006,-0.7401751,1.424916,-4.457406416200938,16.570674305622983
80,51.83940781152276,-0.735799468623844,10.4358225,9.398332,32.4122459730247,-45.48682930424382
81,50.261204131276614,10.01466319221207,9.690979,9.256567,36.244999613374695,-38.56492759288379
